0.172,-0.0931986,-0.662069
0.173,-0.0938607,-0.638769
0.174,-0.0944995,-0.615304
0.175,-0.0951148,-0.591679
0.176,-0.0957064,-0.5679
0.177,-0.0962743,-0.543974
0.178,-0.0968183,-0.519905
0.179,-0.0973382,-0.4957
0.18,-0.0978339,-0.471366
0.181,-0.0983053,-0.446907
0.182,-0.0987522,-0.422331
0.183,-0.0991745,-0.397643
0.184,-0.0995722,-0.372849
0.185,-0.099945,-0.347956
0.186,-0.100293,-0.32297
0.187,-0.100616,-0.297897
0.188,-0.100914,-0.272743
0.189,-0.101187,-0.247514
0.19,-0.101434,-0.222218
0.191,-0.101656,-0.196859
0.192,-0.101853,-0.171445
0.193,-0.102025,-0.145982
0.194,-0.102171,-0.120476
0.195,-0.102291,-0.094933
0.196,-0.102386,-0.0693602
0.197,-0.102455,-0.0437637
0.198,-0.102499,-0.0181498
0.199,-0.102517,0.00747494
0.2,-0.10251,0.0331043
0.201,-0.102477,0.0587317
0.202,-0.102418,0.0843509
0.203,-0.102334,0.109955
0.204,-0.102224,0.135539
0.205,-0.102088,0.161095
0.206,-0.101927,0.186617
0.207,-0.10174,0.212099
0.208,-0.101528,0.237534
0.209,-0.101291,0.262916
0.21,-0.101028,0.288238
0.211,-0.10074,0.313495
0.212,-0.100426,0.33868
0.213,-0.100087,0.363787
0.214,-0.0997237,0.388809
0.215,-0.0993349,0.41374
0.216,-0.0989211,0.438573
0.217,-0.0984826,0.463304
0.218,-0.0980192,0.487924
0.219,-0.0975313,0.512429
0.22,-0.0970189,0.536812
0.221,-0.0964821,0.561067
0.222,-0.095921,0.585187
0.223,-0.0953358,0.609167
0.224,-0.0947267,0.633001
0.225,-0.0940937,0.656683
0.226,-0.093437,0.680206
0.227,-0.0927568,0.703566
0.228,-0.0920532,0.726755
0.229,-0.0913264,0.749768
0.23,-0.0905767,0.7726
0.231,-0.0898041,0.795244
0.232,-0.0890088,0.817695
0.233,-0.0881911,0.839947
0.234,-0.0873512,0.861995
0.235,-0.0864892,0.883833
0.236,-0.0856054,0.905455
0.237,-0.0846999,0.926856
0.238,-0.0837731,0.948031
0.239,-0.082825,0.968975
0.24,-0.0818561,0.989681
0.241,-0.0808664,1.01014
0.242,-0.0798562,1.03036
0.243,-0.0788259,1.05033
0.244,-0.0777755,1.07003
0.245,-0.0767055,1.08948
0.246,-0.075616,1.10865
0.247,-0.0745074,1.12756
0.248,-0.0733798,1.14618
0.249,-0.0722336,1.16453
0.25,-0.0710691,1.18259
0.251,-0.0698865,1.20035
0.252,-0.0686862,1.21783
